Platform,Congress,MemberICPSR,MemberName,MemberParty,MemberChamber,MemberState,MemberDistrict,n_messages,n_scored,mean_partisan_score,mean_partisan_extremity,p_Advertising,p_PositionTaking,p_CreditClaiming,p_NegativePartisan,p_Bipartisan,p_ConstituentService,p_CreditConstituent,p_CreditPolicy,mean_likes,mean_shares,mean_replies,mean_quotes,n_newsletters
Twitter,114,40305,"CORNYN, John",Republican,Senate,TX,S,5901,5358,0.0819,0.541,0.0625,0.3547,0.0153,0.1937,0.0098,0.0315,0.001,0.0088,8.6194,7.6785,5.3506,1.162,
Twitter,114,40700,"KLOBUCHAR, Amy",Democrat,Senate,MN,S,2489,2464,-0.4676,0.7338,0.1965,0.3182,0.176,0.0141,0.0325,0.1326,0.0197,0.1491,56.5452,18.3078,3.9498,0.9835,
Twitter,114,40701,"McCASKILL, Claire",Democrat,Senate,MO,S,2591,2487,-0.2389,0.6194,0.0938,0.254,0.032,0.0421,0.0135,0.1575,0.0023,0.0151,48.0679,20.1393,7.369,1.3474,
Twitter,114,40702,"TESTER, Jon",Democrat,Senate,MT,S,1536,1506,-0.3946,0.6973,0.1725,0.485,0.1517,0.0189,0.0182,0.1296,0.0182,0.1243,8.3913,5.1576,0.9388,0.2018,
Twitter,114,40703,"CASEY, Robert (Bob), Jr.",Democrat,Senate,PA,S,1799,1771,-0.3719,0.6859,0.1317,0.4358,0.0639,0.0739,0.01,0.0728,0.0028,0.0517,24.1501,13.3813,3.8255,0.7098,
Twitter,114,40704,"WHITEHOUSE, Sheldon",Democrat,Senate,RI,S,1787,1771,-0.5214,0.7607,0.2222,0.5199,0.1259,0.0638,0.0179,0.1237,0.014,0.113,16.9703,12.2015,2.3218,0.4639,
Twitter,114,40705,"CORKER, Robert (Bob)",Republican,House,TN,S,1136,1132,0.1753,0.5877,0.4533,0.5449,0.0555,0.0502,0.0299,0.1338,0.0018,0.0431,23.794,17.9718,6.5511,0.8319,
Twitter,114,40707,"BARRASSO, John A.",Republican,Senate,WY,S,720,714,0.0231,0.5115,0.2653,0.5778,0.1083,0.1972,0.0556,0.1028,0.0069,0.1014,4.8556,4.9361,2.7014,0.1264,
Twitter,114,40902,"RISCH, James",Republican,Senate,ID,S,133,133,-0.0578,0.4711,0.4962,0.2857,0.0752,0.0226,0.015,0.0752,0.0075,0.0677,5.6917,4.2932,3.0977,0.188,
Twitter,114,40904,"FRANKEN, Al",Democrat,Senate,MN,S,1677,1667,-0.4651,0.7325,0.1383,0.3631,0.1431,0.0429,0.0256,0.1366,0.0292,0.1073,125.3703,47.4365,7.7776,2.3286,
Twitter,114,40906,"SHAHEEN, Jeanne",Democrat,Senate,NH,S,1692,1675,-0.378,0.689,0.2565,0.4645,0.1377,0.0372,0.0225,0.1028,0.0142,0.1212,20.5857,11.9628,2.3428,0.4314,
